id,fname,lname,ht,_done,f_yr,school,conf,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Jahlil Okafor,Jahlil,Okafor,"6'11""",Yes,2014-15,Duke,ACC,38,38,30.1,7.3,11.1,0.664,7.3,11.1,0.664,0,0,,2.6,5.1,0.51,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,,9.87
Myles Turner,Myles,Turner,"6'11""",Yes,,Texas,Big 12,34,7,22.2,3.4,7.6,0.455,2.9,5.7,0.513,0.5,1.8,0.274,2.8,3.3,0.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,,9.07
Joshua Morgan,Joshua,Morgan,"6'11""",Yes,2019-20,Long Beach State,Big West,32,29,26.4,3.6,5.8,0.622,3.6,5.8,0.625,0,0,0,1.3,2.1,0.588,1.8,4.3,6.1,0.9,0.5,2.5,1.6,2.6,8.4,,1.08
Karl Anthony,Karl,Anthony,"6'11""",Yes,,Kentucky,SEC,39,39,21.1,3.7,6.6,0.566,3.7,6.4,0.577,0.1,0.2,0.25,2.8,3.4,0.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,,8.67
Stanley Johnson,Stanley,Johnson,"6'6""",Yes,2014-15,Arizona,Pac-12,38,37,28.4,4.6,10.3,0.446,3.4,7.2,0.478,1.1,3.1,0.371,3.5,4.7,0.742,2,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,7.41
Justise Winslow,Justise,Winslow,"6'6""",Yes,,Duke,ACC,39,39,29.1,4.4,9.1,0.486,3.3,6.3,0.516,1.2,2.8,0.418,2.6,4,0.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,,9.87
Trey Lyles,Trey,Lyles,"6'10""",Yes,2014-15,Kentucky,SEC,36,21,23,3.3,6.7,0.488,3.1,5.9,0.536,0.1,0.8,0.138,2.1,2.8,0.735,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,,8.67
Ben Simmons,Ben,Simmons,"6'10""",Yes,,LSU,SEC,33,32,34.9,6.5,11.7,0.56,6.5,11.6,0.561,0,0.1,0.333,6,9,0.67,3.1,8.6,11.8,4.8,2,0.8,3.4,2.8,19.2,,7
Jaylen Brown,Jaylen,Brown,"6'7""",Yes,,California,Pac-12,34,34,27.6,4.8,11.1,0.431,3.9,8.1,0.482,0.9,3,0.294,4.2,6.4,0.654,1.1,4.3,5.4,2,0.8,0.6,3.1,3.2,14.6,,7.87
Marquese Chriss,Marquese,Chriss,"6'9""",Yes,,Washington,Pac-12,34,34,24.9,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,0.35,2.6,3.8,0.682,2.5,2.9,5.4,0.8,0.9,1.6,2,4.1,13.7,,8.12
Zion Williamson,Zion,Williamson,"6'7""",Yes,2018-19,Duke,ACC,33,33,30,9,13.2,0.68,8.2,11,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,,11.98
Jalen Smith,Jalen,Smith,"6'10""",No,2018-19,Maryland,Big Ten,33,33,26.7,4.4,8.9,0.492,3.8,6.8,0.563,0.6,2.2,0.268,2.3,3.5,0.658,2.7,4.1,6.8,0.9,0.4,1.2,1.2,2,11.7,,10.09
Jamison Battle,Jamison,Battle,"6'7""",Yes,2019-20,George Washington,A-10,32,30,35.3,3.8,9.6,0.399,1,2,0.524,2.8,7.6,0.366,1.4,1.6,0.846,0.4,4.8,5.2,0.6,0.4,0.4,1.1,2.2,11.8,,0.92
Manny Bates,Manny,Bates,"6'11""",Yes,2019-20,NC State,ACC,29,26,18.4,2.2,3.4,0.657,2.2,3.4,0.657,0,0,,0.6,1.3,0.486,1.7,2.3,4,0.3,0.4,2.9,0.6,2.6,5.1,,7.14
Onyeka Okongwu,Onyeka,Okongwu,"6'9""",Yes,2019-20,USC,Pac-12,28,28,30.6,6.3,10.1,0.616,6.2,10,0.621,0,0.1,0.25,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2,2.7,16.2,,7.22
Akok Akok,Akok,Akok,"6'9""",Yes,2019-20,UConn,AAC,25,24,28,2.3,5.5,0.413,1.8,3.7,0.489,0.5,1.8,0.261,0.8,1.3,0.594,1.3,4.2,5.5,0.4,0.4,2.6,1,1.6,5.8,,5.34
Isaiah Stewart,Isaiah,Stewart,"6'3""",No,,Siena,MAAC,29,,,1,3.1,0.333,0.4,1.4,0.325,0.6,1.7,0.34,0.3,0.3,0.889,,,1,0.7,0.3,0.2,,,2.9,,-2.95
Trayce Jackson,Trayce,Jackson,"6'9""",Yes,2019-20,Indiana,Big Ten,32,32,29.3,5,8.8,0.566,5,8.8,0.566,0,0,,3.6,5.3,0.685,3,5.4,8.4,1.2,0.7,1.8,1.3,2,13.5,,10.35
Precious Achiuwa,Precious,Achiuwa,"6'9""",Yes,2019-20,Memphis,AAC,31,31,30.4,5.9,11.9,0.493,5.5,10.6,0.514,0.4,1.3,0.325,3.6,6,0.599,3,7.8,10.8,1,1.1,1.9,2.8,2.4,15.8,,5.07
Dangelo Russell,Dangelo,Russell,"6'5""",Yes,,Ohio State,Big Ten,35,34,33.9,6.6,14.7,0.449,3.9,8.1,0.479,2.7,6.6,0.411,3.4,4.5,0.756,1,4.7,5.7,5,1.6,0.3,2.9,2.1,19.3,,7.37
Devin Booker,Devin,Booker,"6'8""",No,,Clemson,ACC,32,1,11.6,1.9,3.3,0.561,1.9,3.3,0.566,0,0,0,0.8,1.4,0.533,1.1,1.8,2.9,0.3,0.4,0.1,0.9,1.3,4.5,,7.9
Brandon Ingram,Brandon,Ingram,"6'9""",Yes,,Duke,ACC,36,34,34.6,5.9,13.4,0.442,3.7,8,0.464,2.2,5.4,0.41,3.2,4.7,0.682,1.9,4.9,6.8,2,1.1,1.4,2,2.1,17.3,,10.59
Jamal Murray,Jamal,Murray,"6'5""",Yes,,Kentucky,SEC,36,36,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1,0.3,2.3,2.1,20,,8.84
Anthony Cowan,Anthony,Cowan,"6'0""",No,2016-17,Maryland,Big Ten,33,33,29,2.9,6.9,0.424,2.2,4.5,0.48,0.8,2.5,0.321,3.6,4.7,0.769,0.9,3,3.9,3.7,1.2,0.2,2.3,2,10.3,,8.29
Kihei Clark,Kihei,Clark,"5'9""",No,2018-19,Virginia,ACC,38,20,26.8,1.4,4.1,0.35,0.7,1.9,0.361,0.8,2.2,0.341,0.9,1.1,0.825,0.4,1.9,2.3,2.6,0.7,0,1,1.4,4.5,,10.15
Caleb Hunter,Caleb,Hunter,"5'11""",Yes,2019-20,Mississippi Valley State,SWAC,28,27,31.6,5.5,16.6,0.332,2.9,7.3,0.4,2.6,9.3,0.278,2.1,3.6,0.584,0.6,2.2,2.9,2.3,1.4,0,2.5,2.1,15.7,,-7.68
Anthony Edwards,Anthony,Edwards,"6'1""",No,,Missouri State,MVC,23,0,8,0.8,1.7,0.462,0.7,1.4,0.455,0.1,0.3,0.5,0.4,0.7,0.6,,,1,0.8,0.4,0,0.7,0.6,2.1,,-1.09
Max Abmas,Max,Abmas,"6'1""",Yes,2019-20,Oral Roberts,Summit,31,31,29.5,5.1,12.4,0.411,2.3,4.7,0.486,2.8,7.7,0.366,1.4,1.7,0.83,0.4,1.8,2.2,1.4,1,0.2,1,1.6,14.4,,-1.58
Keaston Willis,Keaston,Willis,"6'3""",Yes,2019-20,Incarnate Word,Southland,31,27,31,4.3,11.5,0.372,1.7,4.1,0.413,2.6,7.5,0.349,2.1,2.7,0.765,0.5,2.3,2.7,1,0.8,0.1,1.3,1.7,13.3,,-6.85
Tyger Campbell,Tyger,Campbell,"5'11""",Yes,2019-20,UCLA,Pac-12,31,31,30,2.8,7.8,0.358,2,4.9,0.412,0.8,2.9,0.267,1.9,2.8,0.674,0.6,1.7,2.4,5,0.8,0,1.8,2,8.3,,8.23
Carlos Paez,Carlos,Paez,"5'10""",Yes,2019-20,Austin Peay,OVC,33,19,24.6,1.8,4.8,0.376,0.9,2.3,0.408,0.8,2.5,0.346,2,2.3,0.882,0.3,1.5,1.8,3.5,1.3,0,1.3,2.4,6.5,,-4.14
Talon Cooper,Talon,Cooper,"6'4""",Yes,2019-20,Morehead State,OVC,30,7,23.2,2.2,4.9,0.452,1.2,2.2,0.53,1,2.7,0.388,1.5,1.9,0.807,0.6,2.3,2.8,3.1,0.9,0.3,1.2,1.4,7,,-6.42
Yuri Collins,Yuri,Collins,"6'0""",Yes,2019-20,Saint Louis,A-10,31,27,31.3,1.8,4.8,0.373,1.5,3.9,0.375,0.4,1,0.367,1.4,2.5,0.564,0.4,2.5,2.8,5.5,1.5,0,3.2,2.5,5.4,,3.07
Nico Mannion,Nico,Mannion,"6'3""",Yes,2019-20,Arizona,Pac-12,32,32,32.3,4.5,11.5,0.392,2.8,6.4,0.444,1.7,5.1,0.327,3.3,4.2,0.797,0.3,2.3,2.5,5.3,1.2,0,2.6,1.7,14,,8.4
Jordan Lyons,Jordan,Lyons,"5'11""",No,2016-17,Furman,Southern,34,0,16.4,1.9,5,0.386,0.5,1.1,0.5,1.4,4,0.356,0.6,0.8,0.679,0.2,1.2,1.4,1.1,0.5,0,0.9,0.8,5.9,,-3.75
Carsen Edwards,Carsen,Edwards,"6'1""",No,,Purdue,Big Ten,35,21,23.2,3.7,9.6,0.382,2.3,5.5,0.414,1.4,4.1,0.34,1.6,2.1,0.743,0.4,2.2,2.6,1.8,1,0.1,1.8,1.9,10.3,,8.79
Kevin Durant,Kevin,Durant,"6'9""",Yes,2006-07,Texas,Big 12,35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6,7.3,0.816,3,8.1,11.1,1.3,1.9,1.9,2.8,2,25.8,,6.12
Juan Dixon,Juan,Dixon,"6'3""",No,1998-99,Maryland,ACC,34,,14.9,2.5,5.6,0.443,1.4,2.8,0.516,1.1,2.9,0.371,1.3,1.6,0.83,,,2.6,1.4,1.5,0,1.5,1.7,7.4,,9.1
Kris Lang,Kris,Lang,"6'11""",No,,UNC,ACC,34,,,4.4,7.5,0.578,4.4,7.5,0.578,0,0,,1.9,2.8,0.67,,,5.4,0.5,0.6,0.5,,,10.6,,10.24
Anthony Grundy,Anthony,Grundy,"6'3""",No,,NC State,ACC,25,,21.4,2.9,7.2,0.406,2,4.4,0.441,1,2.8,0.348,1.2,1.9,0.638,,,3,2,1.5,0.2,,,8,,6.92
Darius Songaila,Darius,Songaila,"6'9""",No,,Wake Forest,ACC,31,,24.4,4,8,0.504,4,7.7,0.513,0.1,0.3,0.25,4,4.9,0.804,,,5.3,1.5,1.3,0.7,2.8,3.6,12.1,,8.13
Chris Williams,Chris,Williams,"6'3""",No,,Ball State,MAC,35,29,30.3,5.2,12.6,0.41,2.6,6.1,0.427,2.6,6.5,0.393,2.9,3.6,0.811,0.9,1.9,2.9,1.3,0.9,0.1,1.7,2.8,15.9,,3.29
Lonny Baxter,Lonny,Baxter,"6'8""",No,,Maryland,ACC,32,,14.5,2.6,4.3,0.599,2.5,4.2,0.593,0.1,0.1,1,1.6,2.8,0.573,,,3.6,0.6,0.7,0.8,0.9,2.3,6.8,,9.1
Kevin Braswell,Kevin,Braswell,"6'2""",No,,Georgetown,Big East,31,,,4.5,13.6,0.335,3.1,9,0.345,1.5,4.6,0.315,3,3.9,0.754,,,4.2,4.5,2.7,0.1,,,13.5,,6.41
David Graves,David,Graves,"6'6""",No,,Notre Dame,Big East,30,,,4.4,9.2,0.475,3.2,6.3,0.505,1.2,2.9,0.407,2.4,3.1,0.777,,,3.9,2.5,1.2,0.1,,,12.3,,6.99
Preston Shumpert,Preston,Shumpert,"6'7""",No,,Syracuse,Big East,32,,,1.8,4.6,0.399,1,1.7,0.582,0.8,2.9,0.29,0.8,1.2,0.73,,,2.4,0.6,0.5,0.2,,,5.4,,7.64
Troy Murphy,Troy,Murphy,"6'11""",No,1998-99,Notre Dame,Big East,27,,33,6.8,12.6,0.538,6.6,12.1,0.547,0.1,0.5,0.308,5.5,7.4,0.741,,,9.9,1.4,1.3,1.4,2.9,2.9,19.2,,6.99
Udonis Haslem,Udonis,Haslem,"6'8""",No,1998-99,Florida,SEC,31,,21.3,3.8,6.3,0.603,3.8,6.2,0.609,0,0.1,0,3,5.1,0.592,,,5,0.8,0.7,0.7,,,10.5,,5.63
Tony Kitchings,Tony,Kitchings,"6'10""",No,1998-99,South Carolina,SEC,5,,,0,1,0,0,1,0,0,0,,0.4,0.4,1,,,0.6,0,0.4,0.2,,,0.4,,8.12
Stromile Swift,Stromile,Swift,"6'9""",No,1998-99,LSU,SEC,16,,19.9,2.8,6.9,0.409,2.8,6.4,0.431,0.1,0.5,0.125,1.9,3.1,0.6,,,4.3,0.3,0.9,2.2,2.9,2.7,7.6,,5.89
Vincent Yarbrough,Vincent,Yarbrough,"6'7""",No,1998-99,Tennessee,SEC,30,28,23.5,2.8,6.6,0.417,2,3.8,0.522,0.8,2.8,0.274,1.3,1.9,0.702,,,5.2,1.4,1.4,1,1.6,1.8,7.6,,6.45
Tayshaun Prince,Tayshaun,Prince,"6'9""",No,1998-99,Kentucky,SEC,37,,20.2,2.2,5.4,0.414,1.4,2.6,0.546,0.8,2.7,0.287,0.6,0.9,0.656,,,3.8,1.2,0.7,0.6,1,0.9,5.8,,9.93
Jules Camara,Jules,Camara,"6'11""",No,,Kentucky,SEC,37,,,2,3.7,0.533,1.9,3.5,0.55,0.1,0.2,0.25,0.4,0.7,0.519,,,3.2,0.4,0.5,0.7,,,4.4,,9.93
Josh Howard,Josh,Howard,"6'7""",No,1999-00,Wake Forest,ACC,36,,24.9,3.6,7.7,0.46,3.2,6.6,0.492,0.3,1.2,0.286,1.8,3,0.583,,,4.7,1.8,1.2,0.9,1.7,2.9,9.2,,8.95
Carlos Boozer,Carlos,Boozer,"6'9""",No,,Duke,ACC,34,,23.7,4.8,7.9,0.614,4.8,7.9,0.614,0,0,,3.4,4.6,0.742,,,6.3,1.1,1.1,0.7,1.6,2.6,13,,8.88
Travis Watson,Travis,Watson,"6'8""",No,1999-00,Virginia,ACC,31,,,4.4,8.3,0.535,4.4,8.2,0.537,0,0,0,2.5,4.5,0.561,,,8.3,0.8,0.9,0.9,,,11.4,,6.22
Jay Williams,Jay,Williams,"6'2""",No,1999-00,Duke,ACC,34,,34,5.3,12.6,0.419,3.1,6.5,0.48,2.1,6.1,0.354,1.8,2.6,0.685,,,4.2,6.5,2.4,0.2,4.1,2.5,14.5,,8.88
Brian Cook,Brian,Cook,"6'9""",No,1999-00,Illinois,Big Ten,32,,18.6,3.5,6.7,0.526,3.1,5.5,0.571,0.4,1.2,0.316,1.6,2.6,0.614,,,4.5,0.8,0.7,0.9,1.3,2.4,9,,9.6
Lavell Blanchard,Lavell,Blanchard,"6'7""",No,,Michigan,Big Ten,28,,,5.2,11.6,0.448,4,8.3,0.481,1.2,3.3,0.363,2.9,3.5,0.827,,,7.9,1.5,0.5,0.5,,,14.4,,9.27
Gary Buchanan,Gary,Buchanan,"6'4""",No,,Villanova,Big East,33,,,4.1,9.4,0.432,1.8,3.6,0.487,2.3,5.8,0.398,2.1,2.2,0.932,,,2.8,2.6,0.9,0.1,,,12.5,,6.74
Matt Carroll,Matt,Carroll,"6'6""",No,,Notre Dame,Big East,37,,26.2,3.4,8.4,0.403,1.6,3.4,0.48,1.7,4.9,0.35,1.4,1.8,0.769,,,2.6,2.1,0.7,0.3,,,9.8,,6.38
Troy Bell,Troy,Bell,"6'1""",No,1999-00,Boston College,Big East,27,,32,5.3,13.8,0.386,3.1,8.3,0.378,2.2,5.5,0.399,6,6.7,0.894,,,3.1,2.1,1.7,0.3,3.8,2.3,18.8,,5.07
Rod Grizzard,Rod,Grizzard,"6'8""",No,1999-00,Alabama,SEC,29,,,4.7,12.1,0.384,2.7,5.5,0.488,2,6.6,0.297,1.9,2.6,0.743,,,5.1,1.2,1,1.3,,,13.2,,7.62
Larry Satchell,Larry,Satchell,"6'9""",No,,Arkansas,SEC,27,9,10.3,1,2,0.509,1,2,0.509,0,0,,0.6,1.3,0.417,,,2.3,0.4,0.4,0.6,0.9,1.4,2.6,,7.76
Marcus Haislip,Marcus,Haislip,"6'10""",No,,Tennessee,SEC,31,0,8.1,1.7,2.8,0.591,1.4,2.3,0.606,0.3,0.5,0.529,0.7,1.3,0.564,,,1.8,0,0.3,0.7,0.7,1.3,4.4,,8.12
Bernard Robinson,Bernard,Robinson,"6'6""",No,,Michigan,Big Ten,28,22,29,5.1,10.9,0.467,4.1,8.1,0.509,1,2.8,0.346,3.3,4.1,0.802,1.4,3.5,4.9,2.3,1.2,0.1,3.3,2.4,14.4,,11.39
Jitim Young,Jitim,Young,"6'2""",No,,Northwestern,Big Ten,30,30,30.1,3.2,7.8,0.404,2.5,5,0.503,0.7,2.9,0.233,1.8,2.6,0.679,1.7,2,3.8,1.9,1.6,0.2,2.3,2.7,8.8,,7.88
Julius Page,Julius,Page,"6'3""",No,,Pitt,Big East,33,25,,3.3,7.8,0.424,2,4,0.504,1.3,3.8,0.341,1.2,1.8,0.623,0.4,1.5,1.8,1.1,0.7,0.2,1.2,1.6,9.1,,5.19
Bryant Matthews,Bryant,Matthews,"6'7""",No,,Virginia Tech,Big East,26,25,,3,7.4,0.404,2.4,5.1,0.466,0.6,2.3,0.267,2.5,3.9,0.634,2,3.3,5.2,1.8,1.2,0.5,2.8,3.5,9.1,,3.81
Mike Sweetney,Mike,Sweetney,"6'8""",No,,Georgetown,Big East,33,33,24.2,4.8,9.3,0.516,4.8,9.3,0.516,0,0,,3.2,5.1,0.619,3.3,4.1,7.4,1.8,0.8,0.7,2.3,2,12.8,,1.58
Andre Barrett,Andre,Barrett,"5'10""",No,,Seton Hall,Big East,31,31,32.4,3.6,10,0.363,2.1,5,0.426,1.5,5,0.301,1.4,2,0.698,0.9,2.5,3.3,5.5,1.2,0.1,2.6,1.9,10.2,,6.03
Darius Rice,Darius,Rice,"6'10""",No,,Miami (FL),Big East,29,28,,4.8,12.1,0.398,2.7,5.8,0.462,2.1,6.3,0.339,2.3,3.2,0.72,1.6,3.3,4.9,1.1,1.1,0.5,1.3,2.2,14.1,,4.92
Chris Daniels,Chris,Daniels,"6'7""",No,2000-01,Georgia,SEC,31,7,,1.3,2.6,0.481,1.2,2.5,0.462,0.1,0.1,1,0.9,1.4,0.643,0.9,1.6,2.6,0.7,0.5,0.3,1.2,1.6,3.5,,12.71
Marquis Estill,Marquis,Estill,"6'9""",No,,Kentucky,SEC,32,0,,2.7,4.4,0.603,2.5,3.9,0.64,0.2,0.5,0.313,1.8,2.4,0.731,1.6,2.2,3.8,0.6,0.2,1.1,1,2,7.3,,11.06
Kyle Davis,Kyle,Davis,"6'8""",No,,Auburn,SEC,30,22,,2,3.8,0.518,2,3.8,0.522,0,0,0,0.9,2,0.45,2.6,3.3,5.9,0.3,0.5,2.8,1.2,3,4.8,,7.13
Daniel Ewing,Daniel,Ewing,"6'3""",No,,Duke,ACC,35,0,18.2,2.3,4.8,0.479,1.4,2.8,0.495,0.9,2,0.457,1,1.5,0.686,1,1.2,2.2,1.3,0.9,0,0.8,2.3,6.5,,9.16
Bj Elder,Bj,Elder,"6'4""",No,,Georgia Tech,ACC,31,13,20.3,3.7,8.7,0.428,2.4,5,0.477,1.3,3.7,0.36,1.2,1.5,0.787,0.9,1.3,2.1,1.4,0.9,0.1,1.5,2.6,9.9,,8.66
Jawad Williams,Jawad,Williams,"6'9""",No,,UNC,ACC,28,9,23.2,3.7,7.2,0.515,3,5.3,0.565,0.8,2,0.382,1.6,2.8,0.557,1.7,2.5,4.2,1.2,0.6,0.6,1.6,1.4,9.8,,10.52
Julius Hodge,Julius,Hodge,"6'7""",No,2001-02,NC State,ACC,33,33,27.5,3.5,7.9,0.442,2.5,5,0.497,1,2.9,0.347,2.7,3.6,0.742,1.9,2.9,4.8,2.2,0.9,0.3,1.8,2.6,10.7,,8.17
Michael Wilkinson,Michael,Wilkinson,"6'8""",No,,Wisconsin,Big Ten,32,1,28.2,2.9,6.6,0.443,2.4,4.9,0.481,0.6,1.7,0.333,2.9,3.8,0.756,2.3,3,5.3,1.5,1.3,0.4,1.6,2.4,9.3,,9.22
Chris Hill,Chris,Hill,,Yes,,Mercer,TAAC,33,,,3.9,9.6,0.406,1.9,4.4,0.432,2,5.2,0.384,2.3,2.8,0.824,,,4.1,1.7,1.3,0,,,12.1,,-5.77
Terence Dials,Terence,Dials,"6'9""",No,2001-02,Ohio State,Big Ten,32,0,16.6,2.7,4.3,0.623,2.7,4.3,0.623,0,0,,1.3,2.2,0.592,1.6,2.6,4.2,0.5,0.6,0.7,0.7,2.7,6.7,,7.26
Vedran Vukusic,Vedran,Vukusic,"6'8""",No,2001-02,Northwestern,Big Ten,25,7,17.4,1.8,3.6,0.511,0.9,1.6,0.561,0.9,2,0.469,0.5,1,0.542,0.4,1.5,1.9,1.5,0.5,0.3,1.7,1.6,5.1,,5.09
Ricky Shields,Ricky,Shields,"6'4""",No,2001-02,Rutgers,Big East,31,31,27.1,3.8,10.4,0.368,2.4,5.8,0.409,1.4,4.5,0.314,2.4,3,0.798,1.4,2.3,3.6,1.8,1.1,0,2.4,1.4,11.5,,2.91
Ben Gordon,Ben,Gordon,"6'3""",No,,UConn,Big East,34,2,24.8,4.1,9.3,0.444,2.3,4.9,0.473,1.8,4.4,0.413,2.5,3.4,0.726,0.6,2.1,2.7,3.1,1,0.2,2.4,2.4,12.6,,7.43
Hakim Warrick,Hakim,Warrick,"6'9""",No,2001-02,Syracuse,Big East,35,19,17.4,2.7,4.9,0.552,2.7,4.9,0.553,0,0.1,0.5,0.7,1.7,0.383,2,2.8,4.8,0.5,0.6,0.6,1.1,2,6.1,,5.9
Ryan Gomes,Ryan,Gomes,"6'7""",No,2001-02,Providence,Big East,24,23,31.5,5.5,9.8,0.559,5.5,9.7,0.567,0,0.1,0,2.8,4.6,0.613,3.6,4.3,7.8,1.5,1.4,0.7,1.5,2.6,13.8,,4.54
Chris Thomas,Chris,Thomas,"6'4""",No,,Florida Atlantic,A-Sun,20,5,21.9,3.4,8.8,0.389,2.4,5.7,0.421,1,3.1,0.328,1.2,1.6,0.774,0.9,1.7,2.5,0.7,0.8,0.3,1.9,1.8,9,,-4.18
Brandon Crump,Brandon,Crump,"6'10""",No,,Tennessee,SEC,30,19,21.6,2.8,4.8,0.594,2.8,4.7,0.596,0,0.1,0.5,1.4,2.6,0.551,1.9,2.3,4.2,0.9,0.4,0.6,1.1,2.7,7.1,,10.93
David Lee,David,Lee,"6'9""",No,,Florida,SEC,31,0,18,2.7,4.7,0.579,2.7,4.7,0.579,0,0,,1.6,2.9,0.549,2.1,2.5,4.7,1,0.6,0.7,1.7,1.5,7,,8.37
Chuck Hayes,Chuck,Hayes,"6'6""",No,,Kentucky,SEC,32,9,16.7,2.1,4.5,0.462,1.9,3.8,0.496,0.2,0.7,0.273,1.5,2,0.738,2.1,2.3,4.5,1.1,0.8,0.4,0.7,1.8,5.9,,11.99
Jj Redick,Jj,Redick,"6'4""",No,2002-03,Duke,ACC,33,30,30.7,4.5,10.9,0.413,1.6,3.7,0.439,2.9,7.2,0.399,3.1,3.4,0.919,0.6,1.9,2.5,2,1.2,0.1,1.6,1.7,15,,8.38
Nik Caner,Nik,Caner,"6'8""",No,,Maryland,ACC,31,18,16.7,2.4,4.5,0.536,2.1,3.6,0.577,0.3,0.9,0.37,0.8,1.4,0.581,1.6,1.9,3.5,1,1.2,0.6,0.9,2.1,5.9,,7.56
Justin Gray,Justin,Gray,"6'2""",No,,Wake Forest,ACC,23,10,27.3,3.7,9.6,0.389,2.2,4.7,0.477,1.5,5,0.307,3.7,4.7,0.787,0.7,3,3.6,3.5,1.2,0,2.3,2.5,12.7,,6.96
